Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
03MG|09|HAARLEM|0392|Haarlem
03YX|00|EDE|0228|Ede
04CS|00|ZEIST|0355|Zeist
04CS|01|'S-GRAVENHAGE|0518|'s-Gravenhage
04YD|00|VENLO|0983|Venlo
05LE|00|EDE|0228|Ede
06AW|00|ENSCHEDE|0153|Enschede
06BW|00|BOLSWARD|1900|Súdwest-Fryslân
06FC|00|SITTARD|1883|Sittard-Geleen
06HB|00|VENLO|0983|Venlo
07GR|00|BREDA|0758|Breda
07GR|01|ETTEN-LEUR|0777|Etten-Leur
07GR|03|BREDA|0758|Breda
07GR|04|TILBURG|0855|Tilburg
07GR|05|EINDHOVEN|0772|Eindhoven
07GR|06|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
07GR|07|ROOSENDAAL|1674|Roosendaal
08HG|00|HAARLEM|0392|Haarlem
08OK|00|HELMOND|0794|Helmond
08QI|00|NIJMEGEN|0268|Nijmegen
08QJ|00|LEIDEN|0546|Leiden
08YJ|00|HENGELO (O)|0164|Hengelo
09ON|00|ZWOLLE|0193|Zwolle
09OR|00|UTRECHT|0344|Utrecht
09OT|00|DOETINCHEM|0222|Doetinchem
10CD|00|HENGELO|0164|Hengelo
10IZ|00|UTRECHT|0344|Utrecht
10IZ|01|ZWOLLE|0193|Zwolle
10IZ|02|HELMOND|0794|Helmond
10IZ|03|ALKMAAR|0361|Alkmaar
10IZ|04|AMSTERDAM|0363|Amsterdam
10JI|00|VEGHEL|1948|Meierijstad
10KK|00|EINDHOVEN|0772|Eindhoven
10KK|01|VEGHEL|1948|Meierijstad
10KO|00|AMSTERDAM|0363|Amsterdam
10SQ|00|LEEUWARDEN|0080|Leeuwarden
10TX|00|HENGELO|0164|Hengelo
11AE|00|MAASTRICHT|0935|Maastricht
14NI|00|ROTTERDAM|0599|Rotterdam
14NK|00|TILBURG|0855|Tilburg
14NN|01|'S-GRAVENHAGE|0518|'s-Gravenhage
14RM|00|AMSTERDAM|0363|Amsterdam
14SB|00|ARNHEM|0202|Arnhem
14SK|00|'S-GRAVENHAGE|0518|'s-Gravenhage
14TP|00|TILBURG|0855|Tilburg
14UL|00|EINDHOVEN|0772|Eindhoven
14ZF|00|ARNHEM|0202|Arnhem
15BK|00|GOUDA|0513|Gouda
15BN|00|'S-GRAVENHAGE|0518|'s-Gravenhage
15CL|00|EINDHOVEN|0772|Eindhoven
15CL|01|TILBURG|0855|Tilburg
15CL|02|AMSTERDAM|0363|Amsterdam
15CL|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
15CL|04|UTRECHT|0344|Utrecht
15CL|05|HELMOND|0794|Helmond
15CL|06|BREDA|0758|Breda
15CW|00|ASSEN|0106|Assen
15DJ|00|SITTARD|1883|Sittard-Geleen
16OL|00|ROTTERDAM|0599|Rotterdam
16UT|00|HEERLEN|0917|Heerlen
16UX|00|AMSTERDAM|0363|Amsterdam
16YR|00|ROTTERDAM|0599|Rotterdam
17HW|00|TILBURG|0855|Tilburg
17VW|00|TILBURG|0855|Tilburg
17XA|00|ROERMOND|0957|Roermond
17XA|01|SITTARD-GELEEN|1883|Sittard-Geleen
17XA|02|VENLO|0983|Venlo
18EX|00|MAASTRICHT|0935|Maastricht
18EZ|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
19AU|00|EMMEN|0114|Emmen
19AY|00|DORDRECHT|0505|Dordrecht
19DB|00|HENGELO|0164|Hengelo
19HP|00|ROTTERDAM|0599|Rotterdam
19UL|00|MEPPEL|0119|Meppel
20ID|00|ROTTERDAM|0599|Rotterdam
20OV|00|DEN HELDER|0400|Den Helder
20PA|00|MAASTRICHT|0935|Maastricht
20PR|00|ENSCHEDE|0153|Enschede
21BI|00|MAASTRICHT|0935|Maastricht
21CW|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21CW|01|VENLO|0983|Venlo
21HO|00|MAASTRICHT|0935|Maastricht
21HP|00|'S-GRAVENHAGE|0518|'s-Gravenhage
21HR|00|AMSTERDAM|0363|Amsterdam
21IY|00|EMMEN|0114|Emmen
21IY|01|ASSEN|0106|Assen
21IY|02|MEPPEL|0119|Meppel
21IY|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
21JA|00|ARNHEM|0202|Arnhem
21JA|05|ENSCHEDE|0153|Enschede
21JE|00|TILBURG|0855|Tilburg
21LA|00|ENSCHEDE|0153|Enschede
21MI|00|VLISSINGEN|0718|Vlissingen
21MI|02|TERNEUZEN|0715|Terneuzen
21MI|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
21MI|04|MIDDELBURG|0687|Middelburg
21MI|05|ROOSENDAAL|1674|Roosendaal
21MN|00|ALPHEN AAN DEN RIJN|0484|Alphen aan den Rijn
21PB|00|LEIDEN|0546|Leiden
21PB|12|'S-GRAVENHAGE|0518|'s-Gravenhage
21PC|00|GRONINGEN|0014|Groningen
21PC|11|LEEUWARDEN|0080|Leeuwarden
21PC|12|AMSTERDAM|0363|Amsterdam
21PC|13|BAARN|0308|Baarn
21PD|00|UTRECHT|0344|Utrecht
21PD|01|MIDDELBURG|0687|Middelburg
21PE|00|ROTTERDAM|0599|Rotterdam
21PE|01|'S-GRAVENHAGE|0518|'s-Gravenhage
21PF|00|DELFT|0503|Delft
21PF|01|'S-GRAVENHAGE|0518|'s-Gravenhage
21PF|02|AMSTERDAM|0363|Amsterdam
21PF|03|WAGENINGEN|0289|Wageningen
21PG|00|EINDHOVEN|0772|Eindhoven
21PG|02|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21PH|00|ENSCHEDE|0153|Enschede
21PH|01|LEEUWARDEN|0080|Leeuwarden
21PH|02|AMSTERDAM|0363|Amsterdam
21PI|00|WAGENINGEN|0289|Wageningen
21PI|01|LEEUWARDEN|0080|Leeuwarden
21PI|02|BREDA|0758|Breda
21PI|03|AMSTERDAM|0363|Amsterdam
21PI|04|DELFT|0503|Delft
21PJ|00|MAASTRICHT|0935|Maastricht
21PJ|01|GRONINGEN|0014|Groningen
21PJ|02|UTRECHT|0344|Utrecht
21PJ|03|VENLO|0983|Venlo
21PJ|04|SITTARD-GELEEN|1883|Sittard-Geleen
21PK|00|AMSTERDAM|0363|Amsterdam
21PK|02|AMSTERDAM|0363|Amsterdam
21PK|03|ALMERE|0034|Almere
21PK|04|HOORN|0405|Hoorn
21PK|10|'S-GRAVENHAGE|0518|'s-Gravenhage
21PL|00|AMSTERDAM|0363|Amsterdam
21PL|02|'S-GRAVENHAGE|0518|'s-Gravenhage
21PL|03|ZWOLLE|0193|Zwolle
21PM|00|NIJMEGEN|0268|Nijmegen
21PM|01|HEERLEN|0917|Heerlen
21PM|02|AMSTERDAM|0363|Amsterdam
21PN|00|TILBURG|0855|Tilburg
21PN|02|UTRECHT|0344|Utrecht
21PN|03|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21PV|00|ARNHEM|0202|Arnhem
21PV|01|NIJMEGEN|0268|Nijmegen
21PV|05|APELDOORN|0200|Apeldoorn
21PZ|00|ZWOLLE|0193|Zwolle
21PZ|01|KAMPEN|0166|Kampen
21QA|00|AMSTERDAM|0363|Amsterdam
21QI|00|ARNHEM|0202|Arnhem
21QI|02|APELDOORN|0200|Apeldoorn
21QL|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
21QL|01|BREDA|0758|Breda
21QO|00|APELDOORN|0200|Apeldoorn
21QW|00|AMSTERDAM|0363|Amsterdam
21QW|02|AMSTERDAM|0363|Amsterdam
21QW|19|ALMERE|0034|Almere
21QW|28|ALKMAAR|0361|Alkmaar
21QW|29|HEEMSKERK|0396|Heemskerk
21QW|30|MOLENWAARD|1978|Molenlanden
21RH|00|UTRECHT|0344|Utrecht
21RH|05|HILVERSUM|0402|Hilversum
21RI|00|LEIDEN|0546|Leiden
21RI|04|ROTTERDAM|0599|Rotterdam
21RI|05|ZEIST|0355|Zeist
21RI|06|'S-GRAVENHAGE|0518|'s-Gravenhage
21RJ|00|ROTTERDAM|0599|Rotterdam
21RJ|03|DORDRECHT|0505|Dordrecht
21RJ|04|'S-GRAVENHAGE|0518|'s-Gravenhage
21RJ|05|OEGSTGEEST|0579|Oegstgeest
21RJ|06|DELFT|0503|Delft
21SF|00|HAARLEM|0392|Haarlem
21SF|01|AMSTERDAM|0363|Amsterdam
21SF|02|'S-GRAVENHAGE|0518|'s-Gravenhage
21SF|03|GRONINGEN|0014|Groningen
21SF|04|DELFT|0503|Delft
21SF|07|VLISSINGEN|0718|Vlissingen
21SF|08|ROTTERDAM|0599|Rotterdam
21SF|09|UTRECHT|0344|Utrecht
21SF|10|ZWOLLE|0193|Zwolle
21SF|14|NIJMEGEN|0268|Nijmegen
21SF|15|ALKMAAR|0361|Alkmaar
21SF|16|HAARLEMMERMEER|0394|Haarlemmermeer
21TC|00|UTRECHT|0344|Utrecht
21TC|06|LEUSDEN|0327|Leusden
21TC|07|DE BILT|0310|De Bilt
21TC|12|AMERSFOORT|0307|Amersfoort
21TC|14|CULEMBORG|0216|Culemborg
21TD|00|MAASTRICHT|0935|Maastricht
21TE|00|ROTTERDAM|0599|Rotterdam
21TN|00|ENSCHEDE|0153|Enschede
21TQ|00|NIJMEGEN|0268|Nijmegen
21TQ|01|ARNHEM|0202|Arnhem
21TR|00|NIJMEGEN|0268|Nijmegen
21TR|01|ARNHEM|0202|Arnhem
21TS|00|SITTARD|1883|Sittard-Geleen
21TW|00|LEEUWARDEN|0080|Leeuwarden
21TW|01|BOLSWARD|1900|Súdwest-Fryslân
21TY|00|'S-GRAVENHAGE|0518|'s-Gravenhage
21TY|02|OEGSTGEEST|0579|Oegstgeest
21UA|00|HEERLEN|0917|Heerlen
21UA|02|SITTARD|1883|Sittard-Geleen
21UG|00|AMSTERDAM|0363|Amsterdam
21UG|01|ALKMAAR|0361|Alkmaar
21UG|02|ALMERE|0034|Almere
21UH|00|EINDHOVEN|0772|Eindhoven
21UI|00|BREDA|0758|Breda
21UI|01|HILVERSUM|0402|Hilversum
21UJ|00|DELFT|0503|Delft
21UJ|01|ALKMAAR|0361|Alkmaar
21WN|00|LEEUWARDEN|0080|Leeuwarden
21WN|02|ZWOLLE|0193|Zwolle
21WN|03|TERSCHELLING|0093|Terschelling
21WN|04|SMALLINGERLAND|0090|Smallingerland
21WN|05|GRONINGEN|0014|Groningen
21WN|06|ENSCHEDE|0153|Enschede
21WO|00|VENLO|0983|Venlo
21WO|01|EINDHOVEN|0772|Eindhoven
21ZL|00|'S-GRAVENHAGE|0518|'s-Gravenhage
21ZL|18|LEIDEN|0546|Leiden
22BO|00|TILBURG|0855|Tilburg
22BO|04|AMSTERDAM|0363|Amsterdam
22BO|06|BERGEN OP ZOOM|0748|Bergen op Zoom
22BO|09|'S-GRAVENHAGE|0518|'s-Gravenhage
22BO|12|HEERLEN|0917|Heerlen
22BO|14|HENGELO (O)|0164|Hengelo
22BO|16|ROTTERDAM|0599|Rotterdam
22BO|17|UTRECHT|0344|Utrecht
22BO|19|EINDHOVEN|0772|Eindhoven
22BO|20|NIJMEGEN|0268|Nijmegen
22BO|21|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
22BO|22|SITTARD-GELEEN|1883|Sittard-Geleen
22BO|23|MAASTRICHT|0935|Maastricht
22BP|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
22BQ|00|SITTARD-GELEEN|1883|Sittard-Geleen
22BQ|01|MAASTRICHT|0935|Maastricht
22EX|01|EMMEN|0114|Emmen
22EX|02|LEEUWARDEN|0080|Leeuwarden
22EX|03|GRONINGEN|0014|Groningen
22EX|04|ASSEN|0106|Assen
22EX|05|MEPPEL|0119|Meppel
22EX|06|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
22EX|07|AMSTERDAM|0363|Amsterdam
22HH|00|ZWOLLE|0193|Zwolle
22IA|00|'S-GRAVENHAGE|0518|'s-Gravenhage
22JA|00|EINDHOVEN|0772|Eindhoven
22JA|01|ZWOLLE|0193|Zwolle
22JA|02|AMSTERDAM|0363|Amsterdam
22JA|03|ROTTERDAM|0599|Rotterdam
22JA|04|GRONINGEN|0014|Groningen
22JA|05|WAGENINGEN|0289|Wageningen
22JA|06|ENSCHEDE|0153|Enschede
22JA|07|LEEUWARDEN|0080|Leeuwarden
22JA|08|APELDOORN|0200|Apeldoorn
22JA|09|VLISSINGEN|0718|Vlissingen
22JA|10|SITTARD-GELEEN|1883|Sittard-Geleen
22JA|11|NIJMEGEN|0268|Nijmegen
22JA|12|TILBURG|0855|Tilburg
22JA|13|ALKMAAR|0361|Alkmaar
22JA|14|NIEUWEGEIN|0356|Nieuwegein
22NC|00|HEERLEN|0917|Heerlen
22ND|00|RHEDEN|0275|Rheden
22ND|01|DEVENTER|0150|Deventer
22ND|02|DELFT|0503|Delft
22ND|03|WAGENINGEN|0289|Wageningen
22ND|04|NIJMEGEN|0268|Nijmegen
22OJ|00|ROTTERDAM|0599|Rotterdam
22OJ|02|DORDRECHT|0505|Dordrecht
22OJ|03|VLISSINGEN|0718|Vlissingen
22OJ|04|ARNHEM|0202|Arnhem
22OJ|05|GRONINGEN|0014|Groningen
22OJ|06|DELFT|0503|Delft
22OJ|07|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23AH|00|ENSCHEDE|0153|Enschede
23AH|01|DEVENTER|0150|Deventer
23AH|02|APELDOORN|0200|Apeldoorn
23AH|03|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23AH|04|HENGELO (O)|0164|Hengelo
23AH|05|UTRECHT|0344|Utrecht
23BF|00|UTRECHT|0344|Utrecht
23BF|01|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
23KJ|00|'S-GRAVENHAGE|0518|'s-Gravenhage
23NG|00|HENGELO|0164|Hengelo
23NG|01|HAARLEM|0392|Haarlem
23NG|02|LEIDSCHENDAM|1916|Leidschendam-Voorburg
23NG|03|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
23NG|05|ALMELO|0141|Almelo
23NG|06|ZWOLLE|0193|Zwolle
23NG|07|TILBURG|0855|Tilburg
23NG|08|ARNHEM|0202|Arnhem
23NG|09|ENSCHEDE|0153|Enschede
23NG|10|APELDOORN|0200|Apeldoorn
23NG|11|UTRECHT|0344|Utrecht
23NG|12|EINDHOVEN|0772|Eindhoven
23NG|13|AMSTERDAM|0363|Amsterdam
23NG|14|ROTTERDAM|0599|Rotterdam
23NG|15|GRONINGEN|0014|Groningen
23NG|16|LEIDEN|0546|Leiden
23TG|00|AMSTERDAM|0363|Amsterdam
23TG|01|GRONINGEN|0014|Groningen
24BU|00|NIEUWEGEIN|0356|Nieuwegein
24FW|00|ZWIJNDRECHT|0642|Zwijndrecht
24FW|01|UTRECHT|0344|Utrecht
24FW|02|AMSTERDAM|0363|Amsterdam
24FW|03|EINDHOVEN|0772|Eindhoven
24FW|04|ROTTERDAM|0599|Rotterdam
24FX|00|GOUDA|0513|Gouda
24FX|01|ALKMAAR|0361|Alkmaar
24FX|02|ALMERE|0034|Almere
24FX|03|ALPHEN A/D RIJN|0484|Alphen aan den Rijn
24FX|04|AMERSFOORT|0307|Amersfoort
24FX|05|AMSTERDAM|0363|Amsterdam
24FX|07|ARNHEM|0202|Arnhem
24FX|08|DORDRECHT|0505|Dordrecht
24FX|09|ENSCHEDE|0153|Enschede
24FX|11|'S-GRAVENHAGE|0518|'s-Gravenhage
24FX|12|GRONINGEN|0014|Groningen
24FX|13|HAARLEM|0392|Haarlem
24FX|14|LEEUWARDEN|0080|Leeuwarden
24FX|16|ROTTERDAM|0599|Rotterdam
24FX|18|RIJSWIJK|0603|Rijswijk
24FX|19|SPIJKENISSE|1930|Nissewaard
24FX|20|UTRECHT|0344|Utrecht
24FX|21|ZOETERMEER|0637|Zoetermeer
24FX|22|ZWOLLE|0193|Zwolle
24FX|23|EMMEN|0114|Emmen
24FX|24|NIEUWEGEIN|0356|Nieuwegein
24FX|25|APELDOORN|0200|Apeldoorn
24FX|26|BREDA|0758|Breda
24FX|27|EINDHOVEN|0772|Eindhoven
24FX|28|LAARBEEK|1659|Laarbeek
24FX|29|RHEDEN|0275|Rheden
24FX|30|SITTARD-GELEEN|1883|Sittard-Geleen
24FX|31|ZAANSTAD|0479|Zaanstad
24GE|00|EINDHOVEN|0772|Eindhoven
24GE|02|HILVERSUM|0402|Hilversum
24GE|03|MAASTRICHT|0935|Maastricht
24GE|05|ROTTERDAM|0599|Rotterdam
24GH|00|DEVENTER|0150|Deventer
24GH|01|UTRECHT|0344|Utrecht
24GH|02|ROTTERDAM|0599|Rotterdam
24GH|04|ENSCHEDE|0153|Enschede
24GH|05|BREDA|0758|Breda
24GH|06|AMSTERDAM|0363|Amsterdam
24GH|07|SITTARD|1883|Sittard-Geleen
24GL|02|UTRECHT|0344|Utrecht
24GL|03|PEEL EN MAAS|1894|Peel en Maas
24GL|04|BREDA|0758|Breda
24GL|05|ALMERE|0034|Almere
24GL|06|AMSTERDAM|0363|Amsterdam
24GL|07|ARNHEM|0202|Arnhem
24GL|08|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
24GL|09|'S-GRAVENHAGE|0518|'s-Gravenhage
24GL|10|SMALLINGERLAND|0090|Smallingerland
24GL|11|EINDHOVEN|0772|Eindhoven
24GL|12|ENSCHEDE|0153|Enschede
24GL|13|GRONINGEN|0014|Groningen
24GL|14|LEEUWARDEN|0080|Leeuwarden
24GL|15|MAASTRICHT|0935|Maastricht
24GL|16|NIJMEGEN|0268|Nijmegen
24GL|17|ROTTERDAM|0599|Rotterdam
24GL|19|ZWOLLE|0193|Zwolle
24GL|20|TILBURG|0855|Tilburg
24GP|00|'S-GRAVENHAGE|0518|'s-Gravenhage
24GP|01|AMSTERDAM|0363|Amsterdam
24GP|02|ARNHEM|0202|Arnhem
24GP|04|EINDHOVEN|0772|Eindhoven
24GP|05|GRONINGEN|0014|Groningen
24GP|06|ROTTERDAM|0599|Rotterdam
24GP|07|BREDA|0758|Breda
24GP|08|UTRECHT|0344|Utrecht
24GP|09|NIJMEGEN|0268|Nijmegen
24GP|10|MAASTRICHT|0935|Maastricht
24GP|11|ZWOLLE|0193|Zwolle
24GP|12|LEIDEN|0546|Leiden
24HA|00|UTRECHT|0344|Utrecht
24HC|00|APELDOORN|0200|Apeldoorn
24HC|02|ARNHEM|0202|Arnhem
24HC|03|EDE|0228|Ede
24HR|00|AMSTERDAM|0363|Amsterdam
24HR|01|ZWOLLE|0193|Zwolle
24HR|03|EINDHOVEN|0772|Eindhoven
24HR|05|ROTTERDAM|0599|Rotterdam
24HR|06|RHEDEN|0275|Rheden
24HR|08|HOORN|0405|Hoorn
24HR|09|ALKMAAR|0361|Alkmaar
24HR|10|LEIDERDORP|0547|Leiderdorp
24HR|11|APELDOORN|0200|Apeldoorn
24HR|12|ENSCHEDE|0153|Enschede
24HR|13|GRONINGEN|0014|Groningen
24HR|14|LEEUWARDEN|0080|Leeuwarden
24HR|15|'S-GRAVENHAGE|0518|'s-Gravenhage
24HR|16|AMERSFOORT|0307|Amersfoort
24HR|17|GOUDA|0513|Gouda
24HR|18|WATERLAND|0852|Waterland
24HR|19|SMALLINGERLAND|0090|Smallingerland
24HR|20|LAARBEEK|1659|Laarbeek
24HR|21|BREDA|0758|Breda
24HR|22|ROERMOND|0957|Roermond
24HR|23|SITTARD|1883|Sittard-Geleen
24HR|24|MAASTRICHT|0935|Maastricht
24HR|25|ALMERE|0034|Almere
24HR|28|UTRECHT|0344|Utrecht
24HR|29|ASSEN|0106|Assen
24HR|30|ROTTERDAM|0599|Rotterdam
24HR|31|OOSTERHOUT|0826|Oosterhout
24HW|00|GRONINGEN|0014|Groningen
24HW|01|UTRECHT|0344|Utrecht
24HW|03|AMERSFOORT|0307|Amersfoort
24HW|04|ENSCHEDE|0153|Enschede
24HW|05|HAARLEM|0392|Haarlem
24HW|06|ROTTERDAM|0599|Rotterdam
24HW|09|ARNHEM|0202|Arnhem
24HW|10|HENGELO|0164|Hengelo
24HW|11|ZWOLLE|0193|Zwolle
24HW|12|EINDHOVEN|0772|Eindhoven
24HW|13|BREDA|0758|Breda
24HW|14|VEENDAM|0047|Veendam
24HW|15|HOOGEVEEN|0118|Hoogeveen
24HW|16|EMMEN|0114|Emmen
24HW|17|ASSEN|0106|Assen
24JF|00|DEVENTER|0150|Deventer
24JF|02|DORDRECHT|0505|Dordrecht
24JF|03|DIEMEN|0384|Diemen
24JF|04|ENSCHEDE|0153|Enschede
24JF|05|APELDOORN|0200|Apeldoorn
24JF|06|ZEIST|0355|Zeist
24JF|07|'S-GRAVENHAGE|0518|'s-Gravenhage
24JF|08|HENGELO|0164|Hengelo
24KB|00|DOETINCHEM|0222|Doetinchem
24KB|02|ENSCHEDE|0153|Enschede
24KB|04|EINDHOVEN|0772|Eindhoven
24KB|05|EMMEN|0114|Emmen
24KB|06|ROTTERDAM|0599|Rotterdam
24KB|07|ALKMAAR|0361|Alkmaar
24KB|08|LEEUWARDEN|0080|Leeuwarden
24KB|09|ZWOLLE|0193|Zwolle
24KB|10|AMSTERDAM|0363|Amsterdam
24KB|11|UTRECHT|0344|Utrecht
24KB|12|GRONINGEN|0014|Groningen
24KB|13|BREDA|0758|Breda
24KD|00|AMSTERDAM|0363|Amsterdam
24KD|01|RHEDEN|0275|Rheden
24KD|02|ROTTERDAM|0599|Rotterdam
24KD|03|ZWOLLE|0193|Zwolle
24KD|04|HOORN|0405|Hoorn
24KD|05|ALKMAAR|0361|Alkmaar
24KD|06|LEIDERDORP|0547|Leiderdorp
24KD|07|APELDOORN|0200|Apeldoorn
24KD|08|ENSCHEDE|0153|Enschede
24KD|10|GRONINGEN|0014|Groningen
24KD|11|LEEUWARDEN|0080|Leeuwarden
24KD|12|'S-GRAVENHAGE|0518|'s-Gravenhage
24KD|13|AMERSFOORT|0307|Amersfoort
24KD|14|UTRECHT|0344|Utrecht
24KD|15|ZAANSTAD|0479|Zaanstad
24KD|16|SMALLINGERLAND|0090|Smallingerland
24KD|17|LAARBEEK|1659|Laarbeek
24KD|18|BREDA|0758|Breda
24KD|19|EINDHOVEN|0772|Eindhoven
24KD|20|ROERMOND|0957|Roermond
24KD|21|SITTARD|1883|Sittard-Geleen
24KD|22|MAASTRICHT|0935|Maastricht
24KD|23|ALMERE|0034|Almere
24KD|24|GOUDA|0513|Gouda
24KD|25|HAARLEM|0392|Haarlem
24KD|26|RIJSWIJK|0603|Rijswijk
24KD|27|ZOETERMEER|0637|Zoetermeer
24KD|28|SPIJKENISSE|1930|Nissewaard
24KD|29|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
24KD|30|SCHAGEN|0441|Schagen
24KD|31|DOETINCHEM|0222|Doetinchem
24KD|32|BERGEN OP ZOOM|0748|Bergen op Zoom
24KD|33|ETTEN-LEUR|0777|Etten-Leur
24KD|34|NIJMEGEN|0268|Nijmegen
24KD|35|ROOSENDAAL|1674|Roosendaal
24KD|36|GOES|0664|Goes
24KD|37|LEIDEN|0546|Leiden
24KD|38|TILBURG|0855|Tilburg
24KD|39|ARNHEM|0202|Arnhem
24KF|01|'S-GRAVENHAGE|0518|'s-Gravenhage
24KF|02|UTRECHT|0344|Utrecht
24KM|00|AMSTERDAM|0363|Amsterdam
24KX|00|ARNHEM|0202|Arnhem
