"persoonsgebonden_nummer";"inschrijvingsjaar";"opleidingsvorm";"eerste_jaar_aan_deze_instelling";"eerste_jaar_in_het_hoger_onderwijs";"eerste_jaar_aan_deze_opleiding_instelling";"diplomajaar_hoogste_vooropleiding";"geslacht";"leeftijd_per_peildatum_1_oktober";"postcodecijfers_student_op_1_oktober";"soort_inschrijving_continu_hoger_onderwijs";"indicatie_eerstejaars_continu_type_ho_binnen_ho";"datum_inschrijving";"opleidingscode_naam_opleiding";"hoogste_vooropleiding_omschrijving_vooropleiding"
79;2008;"voltijd";2008;2008;2008;"2013";"vrouw";21;"1551";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
79;2010;"voltijd";2008;2008;2008;"2013";"vrouw";23;"1551";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
79;2011;"voltijd";2008;2008;2008;"2013";"vrouw";24;"1551";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
79;2013;"voltijd";2008;2008;2012;"2009";"vrouw";26;"1064";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-ba gezondheidszorg"
97;2013;"voltijd";2007;2007;2010;"2005";"man";24;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
98;2008;"voltijd";2007;2007;2007;"2005";"vrouw";21;"1511";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"vwo profiel natuur & techniek"
130;2008;"voltijd";2005;2005;2006;"2009";"vrouw";21;"2311";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
130;2009;"voltijd";2005;2005;2006;"2009";"vrouw";22;"2311";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
130;2013;"voltijd";2005;2005;2009;"2019";"vrouw";26;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-p gezondheidszorg"
142;2005;"voltijd";2005;2005;2005;"2010";"vrouw";17;"1072";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20050901;"B Tandheelkunde";"vwo profiel natuur & techniek"
142;2006;"voltijd";2005;2005;2005;"2010";"vrouw";17;"1072";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20050901;"B Tandheelkunde";"vwo profiel natuur & techniek"
142;2008;"voltijd";2005;2005;2005;"2010";"vrouw";20;"1072";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20080901;"B Tandheelkunde";"vwo profiel natuur & techniek"
142;2010;"voltijd";2005;2005;2008;"2008";"vrouw";22;"1064";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"M Tandheelkunde";"vwo profiel economie & maatschappij"
147;2007;"voltijd";2005;2005;2005;"2009";"vrouw";18;"2241";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20070901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
147;2008;"voltijd";2005;2005;2008;"2013";"vrouw";19;"woonachtig elders in het buitenland";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090701;"M Tandheelkunde";"wo-ba recht"
147;2009;"voltijd";2005;2005;2008;"2013";"vrouw";19;"woonachtig elders in het buitenland";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090701;"M Tandheelkunde";"wo-ba recht"
147;2012;"voltijd";2005;2005;2008;"2013";"vrouw";23;"woonachtig elders in het buitenland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba recht"
187;2011;"voltijd";2007;2007;2008;"2016";"vrouw";23;"1055";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
187;2013;"voltijd";2007;2007;2012;"2007";"vrouw";25;"woonachtig in Duitsland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-ba economie"
224;2009;"voltijd";2006;2006;2007;"2012";"vrouw";21;"1509";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
224;2011;"voltijd";2006;2006;2010;"2013";"vrouw";23;"1112";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
237;2005;"voltijd";2005;2005;2005;"1998";"vrouw";20;"1058";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20050901;"B Tandheelkunde";"vwo algemeen"
237;2006;"voltijd";2005;2005;2005;"1998";"vrouw";20;"1058";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20050901;"B Tandheelkunde";"vwo algemeen"
237;2007;"voltijd";2005;2005;2005;"1998";"vrouw";22;"1058";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20070901;"B Tandheelkunde";"vwo algemeen"
237;2010;"voltijd";2005;2005;2009;"2017";"vrouw";25;"1065";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"M Tandheelkunde";"wo-ba gezondheidszorg"
237;2012;"voltijd";2005;2005;2009;"2017";"vrouw";27;"1065";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba gezondheidszorg"
265;2010;"voltijd";2007;2007;2007;"2013";"man";23;"2548";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel natuur & gezondheid"
265;2012;"voltijd";2007;2007;2011;"2011";"man";25;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba recht"
338;2009;"voltijd";2006;2006;2007;"2012";"vrouw";19;"1013";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
338;2009;"voltijd";2006;2006;2009;"2008";"vrouw";19;"";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100701;"M Tandheelkunde";"hbo-p economie"
338;2010;"voltijd";2006;2006;2009;"2008";"vrouw";19;"";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100701;"M Tandheelkunde";"hbo-p economie"
352;2010;"voltijd";2008;2008;2008;"2013";"vrouw";20;"1097";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
352;2014;"voltijd";2008;2008;2008;"2013";"vrouw";24;"1097";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende neveninschrijving (d.w.z. soort inschrijving continu hoger onderwijs = 2 (of 7 of B))";20140901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
356;2011;"voltijd";2008;2007;2011;"2012";"man";25;"1186";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
356;2012;"voltijd";2008;2007;2011;"2012";"man";25;"1186";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"wo-ba gedrag en maatschappij"
387;2017;"voltijd";2015;2006;2015;"vooropleiding onbekend of geregistreerd diplomajaar is ongeldig > 0000 voor overige inschrijvingen. NB wanneer het diplomajaar 2003 is dan betreft het een diploma behaald in het schooljaar 2003/2004.";"vrouw";30;"3526";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"vooropleiding onbekend"
425;2010;"voltijd";2006;2006;2009;"2009";"man";24;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20100901;"M Tandheelkunde";"wo-ba natuur"
455;2013;"voltijd";2008;2008;2011;"2007";"man";22;"1095";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"hbo-p economie"
455;2014;"voltijd";2008;2008;2011;"2007";"man";23;"1095";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20140901;"M Tandheelkunde";"hbo-p economie"
550;2008;"voltijd";2006;2006;2006;"2019";"vrouw";19;"1057";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
550;2009;"voltijd";2006;2006;2009;"2014";"vrouw";20;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"M Tandheelkunde";"wo-ba gezondheidszorg"
550;2010;"voltijd";2006;2006;2009;"2014";"vrouw";20;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090901;"M Tandheelkunde";"wo-ba gezondheidszorg"
550;2011;"voltijd";2006;2006;2009;"2014";"vrouw";22;"1183";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"wo-ba gezondheidszorg"
556;2013;"voltijd";2009;2006;2012;"2012";"man";26;"1352";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"wo-ba gezondheidszorg"
583;2008;"voltijd";2005;2005;2008;"2008";"man";19;"1055";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"M Tandheelkunde";"vwo profiel natuur/techniek & natuur/gezondheid"
608;2008;"voltijd";2006;2006;2008;"2017";"vrouw";21;"1082";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090801;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
608;2009;"voltijd";2006;2006;2008;"2017";"vrouw";21;"1082";"neveninschrijving binnen het domein hoger onderwijs (combinatie opleiding-instelling komt NIET voor bij een andere inschrijving van de betreffende student) (echte neveninschrijving)";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20090801;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
608;2012;"voltijd";2006;2006;2008;"2017";"vrouw";25;"1082";"inschrijving is niet actief in het betreffende inschrijvingsjaar";"inschrijving heeft soort inschrijving continu type ho binnen ho van 3 4 of 5 (of 8 9 C D E)";20120901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
649;2013;"voltijd";2008;2008;2011;"2012";"vrouw";25;"1135";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"B Tandheelkunde";"hbo-ba economie"
649;2017;"voltijd";2008;2008;2017;"2015";"vrouw";29;"1097";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20170901;"M Tandheelkunde";"wo-on/ma recht"
649;2023;"voltijd";2008;2008;2017;"2015";"vrouw";35;"1097";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20230901;"M Tandheelkunde";"wo-on/ma recht"
650;2012;"voltijd";2006;2006;2009;"2018";"vrouw";24;"woonachtig elders in het buitenland";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
724;2008;"voltijd";2006;2006;2006;"2007";"vrouw";21;"1112";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20080901;"B Tandheelkunde";"vwo profiel economie & maatschappij"
724;2011;"voltijd";2006;2006;2009;"2003";"vrouw";24;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"wo-p gezondheidszorg"
757;2011;"voltijd";2007;2006;2011;"2021";"vrouw";21;"1054";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
818;2007;"voltijd";2007;2005;2007;"2020";"man";19;"1015";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20070901;"B Tandheelkunde";"overig buitenlands diploma / Europees baccalaureaat"
884;2011;"voltijd";2007;2006;2009;"2003";"man";21;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20110901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
884;2012;"voltijd";2007;2006;2009;"2003";"man";22;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
884;2013;"voltijd";2007;2006;2009;"2003";"man";23;"";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20130901;"M Tandheelkunde";"vwo profiel natuur & gezondheid"
901;2006;"voltijd";2006;2006;2006;"1997";"vrouw";17;"1339";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20060901;"B Tandheelkunde";"wo-p gezondheidszorg"
901;2007;"voltijd";2006;2006;2006;"1997";"vrouw";17;"1339";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is eerstejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20060901;"B Tandheelkunde";"wo-p gezondheidszorg"
920;2012;"voltijd";2006;2006;2010;"2013";"vrouw";22;"2012";"hoofdinschrijving binnen het domein hoger onderwijs";"ingeschrevene is hogerejaars type hoger onderwijs binnen hoger onderwijs voor de betreffende hoofdinschrijving (d.w.z. soort inschrijving continu type ho binnen ho = 1 (of 6 of A))";20120901;"M Tandheelkunde";"wo-ba recht"
