"persoonsgebonden_nummer";"gemiddeld_cijfer_cijferlijst";"afkorting_vak";"cijfer_schoolexamen";"cijfer_eerste_centraal_examen"
6528;65;"ckv1";NA;0
110471;63;"ne";63;52
110471;63;"du12";60;0
110471;63;"en";67;0
110471;63;"gs";63;0
110471;63;"wa1";67;76
110471;63;"ec1";60;48
110471;63;"m&o";70;55
110471;63;"anw";79;51
110471;63;"ma1";70;62
110471;63;"lo1";NA;0
110471;63;"lett";63;0
110471;63;"ckv1";NA;0
110471;63;"mu23";65;0
70591;66;"ne";61;55
70591;66;"la";60;0
70591;66;"fa1";60;0
70591;66;"du1";62;55
70591;66;"en";70;0
70591;66;"gs1";62;60
70591;66;"wb1";80;0
70591;66;"na1";72;72
70591;66;"sk1";70;0
70591;66;"bi12";60;0
70591;66;"anw";66;64
70591;66;"ma1";74;76
70591;66;"lo1";NA;0
70591;66;"lett";70;0
70591;66;"kcv";60;49
170334;63;"ne";70;72
170334;63;"fa1";60;0
170334;63;"du1";63;0
170334;63;"en";69;73
170334;63;"gs1";60;0
170334;63;"wb1";62;46
170334;63;"na1";57;41
170334;63;"sk1";60;0
170334;63;"bi12";70;56
170334;63;"ec1";70;0
170334;63;"anw";75;64
170334;63;"ma1";67;55
170334;63;"lo1";NA;0
170334;63;"lett";75;0
170334;63;"ckv1";NA;0
157730;72;"ne";80;0
157730;72;"fa12";66;66
157730;72;"en";70;0
157730;72;"gs";68;59
157730;72;"wa12";81;90
157730;72;"ec12";72;63
157730;72;"te";67;51
157730;72;"anw";80;0
157730;72;"ma1";70;71
157730;72;"lo1";NA;0
157730;72;"lett";72;63
157730;72;"ckv1";NA;0
128971;65;"ne";56;48
128971;65;"la";65;66
128971;65;"gr";75;0
128971;65;"fa1";55;53
128971;65;"du1";73;79
128971;65;"en";72;0
128971;65;"gs1";63;52
128971;65;"gs";68;0
128971;65;"ak";55;0
128971;65;"wa12";62;60
128971;65;"ec12";59;60
128971;65;"anw";67;0
128971;65;"ma1";65;0
128971;65;"lo1";NA;0
128971;65;"lett";63;0
128971;65;"kcv";60;44
59039;77;"ne";80;0
59039;77;"fa12";69;72
59039;77;"du12";62;78
59039;77;"en";75;84
59039;77;"gs1";77;0
59039;77;"gs";69;73
59039;77;"wa1";70;0
59039;77;"bi1";67;68
59039;77;"ec1";76;0
59039;77;"anw";79;79
59039;77;"ma1";81;76
59039;77;"lo1";NA;0
59039;77;"lett";70;0
59039;77;"kcv";90;0
59039;77;"mu23";90;0
59826;64;"ne";64;0
59826;64;"fa1";73;67
59826;64;"du1";56;0
59826;64;"en";61;43
59826;64;"gs1";77;0
59826;64;"gs";65;0
59826;64;"ak";64;64
59826;64;"wb1";66;0
59826;64;"na1";57;51
59826;64;"ec12";72;0
59826;64;"anw";55;0
59826;64;"ma1";66;63
59826;64;"lo1";NA;0
59826;64;"lo2";67;75
59826;64;"lett";68;62
59826;64;"ckv1";NA;0
88904;66;"ne";56;60
88904;66;"du12";79;0
88904;66;"en";69;58
88904;66;"gs";68;0
88904;66;"wa1";63;60
88904;66;"bi";60;62
88904;66;"ec1";64;65
88904;66;"anw";66;0
88904;66;"ma1";70;0
88904;66;"lo1";NA;0
88904;66;"lett";80;0
88904;66;"ckv1";NA;0
88904;66;"bv23";60;56
56478;71;"ne";66;70
56478;71;"fa1";64;62
56478;71;"du1";70;68
56478;71;"en";71;73
56478;71;"gs1";85;0
56478;71;"gs";70;0
56478;71;"ak";63;71
56478;71;"wa12";77;0
56478;71;"bi1";81;71
56478;71;"ec12";83;0
56478;71;"m&o";59;0
56478;71;"anw";79;0
56478;71;"ma1";55;39
56478;71;"lo1";NA;0
56478;71;"lett";64;0
56478;71;"ckv1";NA;0
99464;60;"ne";55;55
99464;60;"fa1";60;0
99464;60;"du1";60;0
99464;60;"en";70;0
99464;60;"gs";60;58
99464;60;"ak";60;0
99464;60;"wa12";70;0
99464;60;"ec12";65;43
99464;60;"m&o";69;27
99464;60;"anw";71;56
99464;60;"ma1";57;36
99464;60;"lo1";NA;0
99464;60;"lett";64;67
99464;60;"ckv1";NA;0
53286;71;"ne";69;56
53286;71;"fa1";80;74
53286;71;"du12";71;0
53286;71;"en";68;70
53286;71;"gs1";72;71
53286;71;"gs";62;0
53286;71;"ak";75;78
53286;71;"wa12";61;56
53286;71;"ec12";73;0
53286;71;"anw";79;66
53286;71;"ma1";77;63
53286;71;"ma";77;0
53286;71;"lo1";NA;0
53286;71;"lett";80;0
53286;71;"ckv1";NA;0
6541;75;"ne";75;63
6541;75;"la";84;0
6541;75;"fa1";68;0
6541;75;"du1";77;0
6541;75;"en";75;0
6541;75;"gs1";84;0
6541;75;"wb12";77;78
6541;75;"in";74;35
6541;75;"na12";78;58
6541;75;"sk12";72;0
6541;75;"anw";72;0
6541;75;"ma1";75;85
6541;75;"lo1";NA;0
6541;75;"lett";75;78
6541;75;"kcv";80;0
137630;63;"ne";67;67
137630;63;"fa1";66;61
137630;63;"du1";60;0
137630;63;"en";56;63
137630;63;"gs1";67;0
137630;63;"gs";55;53
137630;63;"ak";78;55
137630;63;"wa12";68;0
137630;63;"ec12";67;56
137630;63;"m&o";60;66
137630;63;"anw";61;0
137630;63;"ma1";69;0
137630;63;"lo1";NA;0
137630;63;"lett";62;0
137630;63;"ckv1";NA;0
15232;75;"ne";73;0
15232;75;"fa1";76;0
15232;75;"du1";84;0
15232;75;"en";75;0
15232;75;"gs1";69;55
15232;75;"wb1";82;67
15232;75;"na1";83;83
15232;75;"sk1";68;0
15232;75;"bi12";82;82
15232;75;"anw";82;61
15232;75;"ma1";90;0
15232;75;"lo1";NA;0
15232;75;"lett";77;0
15232;75;"ckv1";NA;0
15232;75;"dr3";73;67
7824;61;"ne";55;50
7824;61;"fa1";60;67
7824;61;"du1";59;0
7824;61;"en";55;54
7824;61;"gs1";56;0
7824;61;"wb1";58;59
7824;61;"na1";57;53
7824;61;"sk1";66;0
7824;61;"bi12";74;59
7824;61;"ec1";56;0
7824;61;"anw";62;0
7824;61;"ma1";65;58
7824;61;"lo1";NA;0
7824;61;"lett";60;0
7824;61;"ckv1";NA;0
74152;71;"ne";70;0
74152;71;"fa1";70;53
74152;71;"du1";89;0
74152;71;"en";86;0
74152;71;"gs1";67;0
74152;71;"wb1";80;0
74152;71;"in";65;48
74152;71;"na1";65;64
74152;71;"sk1";77;0
74152;71;"bi12";70;48
74152;71;"ec1";80;0
74152;71;"anw";68;72
74152;71;"ma1";75;50
74152;71;"lo1";NA;0
74152;71;"lett";70;66
74152;71;"ckv1";NA;0
14417;62;"ne";56;40
14417;62;"fa1";71;51
14417;62;"du1";60;0
14417;62;"en";53;59
14417;62;"gs1";80;0
14417;62;"gs";54;64
14417;62;"ak";60;0
14417;62;"wa12";71;56
14417;62;"ec12";60;0
14417;62;"m&o";59;45
14417;62;"anw";70;0
14417;62;"ma1";70;0
14417;62;"lo1";NA;0
14417;62;"lett";58;44
14417;62;"ckv1";NA;0
90174;62;"ne";56;0
90174;62;"fa12";67;69
90174;62;"du1";63;53
90174;62;"en";56;0
90174;62;"gs1";69;37
90174;62;"gs";61;42
90174;62;"ak";71;0
90174;62;"wa12";63;48
90174;62;"ec12";65;53
90174;62;"m&o";71;0
90174;62;"anw";67;64
90174;62;"ma1";70;0
90174;62;"lo1";NA;0
90174;62;"lett";73;54
90174;62;"ckv1";NA;0
1035;66;"ak";75;74
1035;66;"anw";58;66
1035;66;"lo";NA;0
1035;66;"netl";66;57
1035;66;"entl";57;0
1035;66;"fatl";49;53
1035;66;"maat";68;80
1035;66;"ckv";NA;0
1035;66;"ges";77;54
1035;66;"econ";64;73
1035;66;"kubv";75;0
111815;63;"ne";69;64
111815;63;"fa1";70;0
111815;63;"du1";70;0
111815;63;"en";67;56
111815;63;"gs1";70;0
111815;63;"gs";56;66
111815;63;"ak";90;0
111815;63;"wa12";70;0
111815;63;"ec12";56;52
111815;63;"m&o";73;63
111815;63;"anw";57;53
111815;63;"ma1";69;56
111815;63;"lo1";NA;0
111815;63;"lett";70;0
111815;63;"ckv1";NA;0
22197;63;"ne";62;59
22197;63;"fa12";61;0
22197;63;"en";72;0
22197;63;"gs";65;0
22197;63;"wa1";60;0
22197;63;"it1";64;0
22197;63;"ec1";79;0
22197;63;"anw";61;0
22197;63;"ma1";59;53
22197;63;"lo1";NA;0
22197;63;"lett";70;48
22197;63;"ckv1";NA;0
22197;63;"ckv2";67;59
22197;63;"bv23";51;59
109933;74;"ne";90;0
109933;74;"fa1";74;74
109933;74;"du1";70;0
109933;74;"en";83;85
109933;74;"gs1";70;0
109933;74;"gs";70;78
109933;74;"wb12";70;0
109933;74;"na12";90;0
109933;74;"sk1";65;70
109933;74;"bi12";73;65
109933;74;"anw";72;85
109933;74;"ma1";80;0
109933;74;"lo1";NA;0
109933;74;"lett";70;54
109933;74;"ckv1";NA;0
100842;61;"ne";66;0
100842;61;"fa1";54;37
100842;61;"en";64;0
100842;61;"wb1";59;0
100842;61;"na1";62;48
100842;61;"sk";64;62
100842;61;"bi";59;62
100842;61;"m&o";69;57
100842;61;"anw";64;54
100842;61;"ma1";65;0
100842;61;"lo1";NA;0
100842;61;"lett";63;64
100842;61;"ckv1";NA;0
128580;67;"ne";79;62
128580;67;"la";70;0
128580;67;"fa1";75;45
128580;67;"du1";79;56
128580;67;"en";74;54
128580;67;"gs1";70;69
128580;67;"gs";35;43
128580;67;"ak";73;65
128580;67;"wa12";80;0
128580;67;"ec12";80;0
128580;67;"m&o";80;0
128580;67;"anw";70;0
128580;67;"ma1";70;0
128580;67;"lo1";NA;0
128580;67;"lett";70;0
128580;67;"kcv";61;32
150458;69;"ne";76;68
150458;69;"gr";80;0
150458;69;"fa12";71;82
150458;69;"du12";60;0
150458;69;"en";70;0
150458;69;"gs1";80;0
150458;69;"gs";70;58
150458;69;"ak";59;57
150458;69;"wa1";72;68
150458;69;"anw";80;0
150458;69;"ma1";60;38
150458;69;"lo1";NA;0
150458;69;"lett";62;67
150458;69;"kcv";67;59
150458;69;"bv23";80;0
63957;71;"ne";80;0
63957;71;"fa12";65;72
63957;71;"du1";71;66
63957;71;"en";65;57
63957;71;"gs1";70;0
63957;71;"gs";67;59
63957;71;"ak";70;75
63957;71;"wa1";78;77
63957;71;"ec1";70;0
63957;71;"te";70;57
63957;71;"anw";80;0
63957;71;"ma1";80;0
63957;71;"lo1";NA;0
63957;71;"lett";72;67
63957;71;"ckv1";NA;0
89272;78;"ne";76;75
89272;78;"fa12";83;73
89272;78;"du12";80;0
89272;78;"en";75;72
89272;78;"gs1";80;0
89272;78;"gs";71;68
89272;78;"wa1";80;0
89272;78;"ec1";79;80
89272;78;"te";84;76
89272;78;"anw";78;74
89272;78;"ma1";70;0
89272;78;"lo1";NA;0
89272;78;"lett";80;89
89272;78;"ckv1";NA;0
74879;71;"ne";69;0
74879;71;"fa1";82;0
74879;71;"du1";82;0
74879;71;"en";73;0
74879;71;"gs1";63;67
74879;71;"gs";67;0
74879;71;"ak";68;76
74879;71;"wa12";79;80
74879;71;"ec12";66;50
74879;71;"m&o";88;0
74879;71;"anw";73;63
74879;71;"ma1";61;46
74879;71;"lo1";NA;0
74879;71;"lett";67;0
74879;71;"kcv";76;64
74879;71;"ckv1";NA;0
128746;68;"ne";67;55
128746;68;"du12";71;64
128746;68;"en";61;78
128746;68;"gs";76;57
128746;68;"ak";70;0
128746;68;"wa12";65;48
128746;68;"ec12";80;0
128746;68;"m&o";71;52
128746;68;"anw";69;80
128746;68;"ma1";70;0
128746;68;"lo1";NA;0
128746;68;"lett";78;55
128746;68;"ckv1";NA;0
76885;70;"ne";73;0
76885;70;"fa1";72;58
76885;70;"du1";75;0
76885;70;"en";79;74
76885;70;"gs1";64;0
76885;70;"gs";67;65
76885;70;"ak";68;0
76885;70;"wb1";59;63
76885;70;"bi12";70;67
76885;70;"ec12";74;0
76885;70;"anw";66;63
76885;70;"ma1";71;82
76885;70;"lo1";NA;0
76885;70;"lett";72;0
76885;70;"ckv1";NA;0
76885;70;"bv3";72;0
9905;68;"ne";70;77
9905;68;"fa1";80;0
9905;68;"du1";71;67
9905;68;"en";70;0
9905;68;"gs1";66;58
9905;68;"wb1";70;0
9905;68;"na1";64;68
9905;68;"sk12";73;58
9905;68;"bi12";70;0
9905;68;"m&o";65;49
9905;68;"anw";67;0
9905;68;"ma1";60;0
9905;68;"lo1";NA;0
9905;68;"lett";63;53
9905;68;"ckv1";NA;0
111690;60;"ne";60;0
111690;60;"fa1";70;0
111690;60;"du1";62;53
111690;60;"en";58;52
111690;60;"gs1";62;50
111690;60;"gs";60;0
111690;60;"ak";58;69
111690;60;"wa12";50;0
111690;60;"bi1";60;0
111690;60;"ec12";55;39
111690;60;"anw";60;0
111690;60;"ma1";60;0
111690;60;"lo1";NA;0
111690;60;"lett";64;72
111690;60;"ckv1";NA;0
96336;69;"ne";75;0
96336;69;"fa1";64;0
96336;69;"du1";74;60
96336;69;"en";56;0
96336;69;"gs1";74;54
96336;69;"wb12";64;64
96336;69;"in";60;0
96336;69;"na12";67;60
96336;69;"sk12";60;0
96336;69;"ec1";77;0
96336;69;"anw";74;69
96336;69;"ma1";93;82
96336;69;"lo1";NA;0
96336;69;"lett";85;0
96336;69;"ckv1";NA;0
137412;74;"ne";80;84
137412;74;"fa1";67;68
137412;74;"du1";75;70
137412;74;"en";68;56
137412;74;"gs1";NA;0
137412;74;"gs";77;83
137412;74;"ak";86;86
137412;74;"wa12";71;68
137412;74;"bi12";79;0
137412;74;"ec12";80;74
137412;74;"anw";NA;0
137412;74;"ma1";NA;0
137412;74;"lo1";NA;0
137412;74;"lett";69;0
137412;74;"ckv1";NA;0
137412;78;"ne";80;84
137412;78;"du1";75;70
137412;78;"en";68;56
137412;78;"gs";77;83
137412;78;"ak";86;86
137412;78;"wa12";71;68
137412;78;"bi";86;81
137412;78;"ec12";80;74
137412;78;"m&o";82;82
137412;78;"anw";84;70
137412;78;"ma1";78;65
137412;78;"lo1";NA;0
137412;78;"lett";69;0
137412;78;"ckv1";NA;0
28972;58;"ne";60;67
28972;58;"du12";53;52
28972;58;"en";61;65
28972;58;"gs";56;0
28972;58;"ak";62;0
28972;58;"wa1";57;71
28972;58;"bi";60;0
28972;58;"ec1";59;64
28972;58;"anw";54;47
28972;58;"ma1";61;0
28972;58;"lo1";NA;0
28972;58;"lett";47;56
28972;58;"ckv1";NA;0
5875;75;"ne";75;82
5875;75;"la";73;71
5875;75;"fa12";74;70
5875;75;"du1";80;0
5875;75;"en";80;0
5875;75;"gs1";81;77
5875;75;"wb1";68;56
5875;75;"na1";80;0
5875;75;"sk1";72;55
5875;75;"bi12";69;61
5875;75;"anw";80;0
5875;75;"fi";78;60
5875;75;"ma1";80;0
5875;75;"lo1";NA;0
5875;75;"lett";64;71
5875;75;"kcv";80;0
10700;65;"ne";63;58
10700;65;"fa12";69;57
10700;65;"du12";69;62
10700;65;"en";64;0
10700;65;"gs1";56;0
10700;65;"gs";68;0
10700;65;"wa12";61;56
10700;65;"te";73;57
10700;65;"anw";62;51
10700;65;"ma1";68;68
10700;65;"lo1";NA;0
10700;65;"lett";79;0
10700;65;"ckv1";NA;0
53330;64;"ne";68;0
53330;64;"fa1";76;0
53330;64;"du1";60;58
53330;64;"en";68;64
53330;64;"gs1";61;56
53330;64;"gs";72;0
53330;64;"ak";62;65
53330;64;"wa12";68;57
53330;64;"ec12";68;0
53330;64;"anw";60;0
53330;64;"ma1";66;38
53330;64;"ma";56;0
53330;64;"lo1";NA;0
53330;64;"lett";71;68
53330;64;"ckv1";NA;0
119853;63;"ne";59;41
119853;63;"du12";61;55
119853;63;"en";59;57
119853;63;"gs";58;56
119853;63;"wa12";65;0
119853;63;"bi";62;54
119853;63;"ec1";57;53
119853;63;"mu";57;63
119853;63;"anw";73;0
119853;63;"ma1";61;0
119853;63;"lo1";NA;0
119853;63;"lett";80;72
119853;63;"ckv1";NA;0
109501;75;"ne";70;0
109501;75;"fa1";73;82
109501;75;"du1";80;0
109501;75;"en";70;0
109501;75;"gs1";70;0
109501;75;"wb1";75;82
109501;75;"in";77;69
109501;75;"na1";80;0
109501;75;"sk1";80;0
109501;75;"bi12";74;72
109501;75;"anw";73;80
109501;75;"fi";72;80
109501;75;"ma1";70;0
109501;75;"lo1";NA;0
109501;75;"lett";70;0
109501;75;"kcv";73;68
120626;62;"ne";58;36
120626;62;"fa1";59;0
120626;62;"du1";63;0
120626;62;"en";63;0
120626;62;"gs1";61;0
120626;62;"wb12";65;57
120626;62;"in";64;0
120626;62;"na12";62;63
120626;62;"sk12";74;0
120626;62;"ec1";71;77
120626;62;"anw";64;61
120626;62;"ma1";71;0
120626;62;"lo1";NA;0
120626;62;"lett";69;53
120626;62;"ckv1";NA;0
24937;73;"ne";66;0
24937;73;"fa1";70;0
24937;73;"du12";78;71
24937;73;"en";68;82
24937;73;"gs1";75;65
24937;73;"gs";78;0
24937;73;"ak";73;80
24937;73;"wa1";76;65
24937;73;"bi12";74;80
24937;73;"anw";78;83
24937;73;"ma1";63;63
24937;73;"ma";63;0
24937;73;"lo1";NA;0
24937;73;"lo2";75;0
24937;73;"lett";70;0
24937;73;"ckv1";NA;0
118864;62;"ne";59;79
118864;62;"fa1";56;68
118864;62;"en";55;74
118864;62;"wb12";41;65
118864;62;"na1";70;0
118864;62;"sk";60;0
118864;62;"bi";69;58
118864;62;"anw";60;0
118864;62;"ma1";70;64
118864;62;"lett";60;0
118864;62;"ckv1";NA;0
13198;70;"ne";75;0
13198;70;"fa1";74;0
13198;70;"du1";75;0
13198;70;"en";68;59
13198;70;"gs1";72;76
13198;70;"wb12";66;66
13198;70;"na1";64;0
13198;70;"sk1";67;62
13198;70;"bi12";70;0
13198;70;"anw";72;0
13198;70;"ma1";74;76
13198;70;"lo1";NA;0
13198;70;"lett";76;72
13198;70;"ckv1";NA;0
13198;70;"mu23";71;0
154365;65;"ne";74;60
154365;65;"fa12";61;0
154365;65;"du12";64;54
154365;65;"en";56;61
154365;65;"gs1";69;0
154365;65;"gs";75;65
154365;65;"ak";67;0
154365;65;"wa1";64;60
154365;65;"anw";66;0
154365;65;"ma1";72;58
154365;65;"lo1";NA;0
154365;65;"lett";63;57
154365;65;"mh12";65;57
154365;65;"ckv1";NA;0
117706;70;"du1";76;60
117706;70;"en";80;0
117706;70;"gs1";80;0
117706;70;"gs";72;75
117706;70;"ak";80;0
117706;70;"wa12";70;0
117706;70;"bi1";68;46
117706;70;"ec12";60;0
117706;70;"anw";75;66
117706;70;"ma1";72;46
117706;70;"lo1";NA;0
117706;70;"lett";80;0
117706;70;"ckv1";NA;0
105406;65;"ne";65;0
105406;65;"la";58;45
105406;65;"fa1";73;0
105406;65;"du12";70;62
105406;65;"en";57;59
105406;65;"gs1";70;0
105406;65;"gs";66;65
105406;65;"ak";63;0
105406;65;"wa12";70;36
105406;65;"bi1";69;52
105406;65;"ec12";68;60
105406;65;"anw";72;0
105406;65;"ma1";67;0
105406;65;"lo1";NA;0
105406;65;"lett";67;48
105406;65;"kcv";67;0
70860;67;"ne";70;0
70860;67;"fa1";68;0
70860;67;"du1";69;64
70860;67;"en";60;0
70860;67;"gs1";68;72
70860;67;"wb1";68;74
70860;67;"na1";70;0
70860;67;"sk1";63;62
70860;67;"bi12";66;64
70860;67;"ec1";70;79
70860;67;"anw";74;50
70860;67;"ma1";60;0
70860;67;"lo1";NA;0
70860;67;"lett";60;0
70860;67;"ckv1";NA;0
70860;67;"mu3";82;0
52104;79;"ne";80;0
52104;79;"fa1";88;85
52104;79;"du1";80;0
52104;79;"en";80;0
52104;79;"gs1";90;90
52104;79;"gs";80;0
52104;79;"ak";79;83
52104;79;"wa12";80;0
52104;79;"ec12";80;0
52104;79;"anw";69;79
52104;79;"ma1";62;68
52104;79;"lo1";NA;0
52104;79;"lett";80;81
52104;79;"ckv1";NA;0
52104;79;"bv3";70;0
126062;63;"ne";60;0
126062;63;"fa1";63;48
126062;63;"du1";57;49
126062;63;"en";70;0
126062;63;"gs1";70;0
126062;63;"wb1";63;54
126062;63;"na1";60;0
126062;63;"sk12";61;50
126062;63;"bi12";70;0
126062;63;"anw";71;48
126062;63;"ma1";70;0
126062;63;"lo1";NA;0
126062;63;"lett";61;44
126062;63;"ckv1";NA;0
122318;65;"ne";80;0
122318;65;"fa1";58;58
122318;65;"du1";70;0
122318;65;"en";70;0
122318;65;"gs1";65;48
122318;65;"gs";60;0
122318;65;"wb1";72;77
122318;65;"na1";70;0
122318;65;"sk1";63;70
122318;65;"bi12";60;0
122318;65;"anw";63;59
122318;65;"ma1";64;50
122318;65;"lo1";NA;0
122318;65;"lett";52;57
122318;65;"ckv1";NA;0
92247;84;"ne";62;82
92247;84;"la";90;0
92247;84;"gr";90;0
92247;84;"fa12";94;81
92247;84;"du1";75;71
92247;84;"en";84;86
92247;84;"gs1";90;0
92247;84;"gs";79;76
92247;84;"ak";90;0
92247;84;"wa12";72;79
92247;84;"anw";70;64
92247;84;"ma1";90;0
92247;84;"lo1";NA;0
92247;84;"lett";74;71
92247;84;"kcv";100;0
92247;84;"bv23";90;0
139696;63;"ne";60;0
139696;63;"fa1";60;0
139696;63;"du1";82;0
139696;63;"en";67;61
139696;63;"gs1";60;0
139696;63;"wb12";60;0
139696;63;"in";63;48
139696;63;"na12";63;63
139696;63;"sk12";60;0
139696;63;"anw";61;50
139696;63;"ma1";70;0
139696;63;"lo1";NA;0
139696;63;"lett";59;53
139696;63;"ckv1";NA;0
59128;72;"ne";80;0
59128;72;"la";58;0
59128;72;"fa1";79;88
59128;72;"fa12";90;0
59128;72;"du1";75;0
59128;72;"du12";80;73
59128;72;"en";74;0
59128;72;"sp-e";86;78
59128;72;"gs1";79;0
59128;72;"gs";60;52
59128;72;"wa1";58;0
59128;72;"anw";71;61
59128;72;"ma1";72;0
59128;72;"lo1";NA;0
59128;72;"lett";54;49
59128;72;"kcv";67;65
59128;72;"mu23";70;0
140844;68;"ne";71;0
140844;68;"fa1";65;60
140844;68;"du1";75;79
140844;68;"en";57;0
140844;68;"gs1";70;0
140844;68;"wb1";66;57
140844;68;"in";66;69
140844;68;"na1";54;65
140844;68;"sk1";61;73
140844;68;"bi12";74;0
140844;68;"anw";60;0
140844;68;"ma1";76;0
140844;68;"lo1";NA;0
140844;68;"lett";68;0
140844;68;"ckv1";NA;0
146407;72;"ne";81;71
146407;72;"fa1";74;0
146407;72;"du1";80;0
146407;72;"en";76;62
146407;72;"gs1";75;73
146407;72;"gs";65;0
146407;72;"ak";79;72
146407;72;"wa12";78;69
146407;72;"bi1";61;0
146407;72;"ec12";69;0
146407;72;"anw";70;76
146407;72;"ma1";71;0
146407;72;"lo1";NA;0
146407;72;"lett";79;0
146407;72;"kcv";71;0
131661;67;"ne";60;0
131661;67;"fa1";66;61
131661;67;"du1";70;0
131661;67;"en";70;0
131661;67;"gs1";47;43
131661;67;"gs";80;0
131661;67;"ak";60;0
131661;67;"wa12";55;74
131661;67;"ec12";54;60
131661;67;"m&o";90;0
131661;67;"anw";63;86
131661;67;"ma1";66;66
131661;67;"lo1";NA;0
131661;67;"lett";80;0
131661;67;"kcv";59;60
125896;65;"ne";53;0
125896;65;"fa1";78;56
125896;65;"du1";59;0
125896;65;"en";65;63
125896;65;"gs1";66;56
125896;65;"gs";75;65
125896;65;"wb1";75;0
125896;65;"na1";74;0
125896;65;"sk1";71;0
125896;65;"bi12";73;0
125896;65;"anw";58;63
125896;65;"ma1";68;74
125896;65;"lo1";NA;0
125896;65;"lett";62;62
125896;65;"ckv1";NA;0
107104;64;"ne";60;0
107104;64;"fa1";67;50
107104;64;"du1";70;0
107104;64;"du12";70;0
107104;64;"en";61;37
107104;64;"gs1";66;61
107104;64;"wb1";58;57
107104;64;"na1";68;52
